variant,outer_fold,model,roc_auc,auprc,accuracy,f1,mcc,brier,n_test,pos_rate_test,n_features_train,flag_source,oof_auc,oof_auprc,n
FULL,2.0,LogReg,1.0,1.0,0.9166666666666666,0.9090909090909091,0.8451542547285166,0.12387042229719963,12.0,0.4166666666666667,69.0,outer_fold_metrics,,,
FULL,2.0,RF,1.0,1.0,1.0,1.0,1.0,0.02498466666666667,12.0,0.4166666666666667,69.0,outer_fold_metrics,,,
FULL,2.0,HGB,1.0,1.0,1.0,1.0,1.0,0.020496461256507448,12.0,0.4166666666666667,69.0,outer_fold_metrics,,,
FULL,3.0,LogReg,1.0,1.0,1.0,1.0,1.0,0.0010241422053421899,11.0,0.45454545454545453,69.0,outer_fold_metrics,,,
FULL,3.0,LinearSVM,1.0,1.0,0.9090909090909091,0.8888888888888888,0.8280786712108251,0.08156112306934014,11.0,0.45454545454545453,69.0,outer_fold_metrics,,,
FULL,3.0,RF,1.0,1.0,1.0,1.0,1.0,0.10847454545454548,11.0,0.45454545454545453,69.0,outer_fold_metrics,,,
FULL,3.0,HGB,1.0,1.0,1.0,1.0,1.0,0.0023071399067322927,11.0,0.45454545454545453,69.0,outer_fold_metrics,,,
FULL,4.0,LogReg,1.0,1.0,0.7272727272727273,0.7692307692307693,0.5590169943749475,0.1543967813480436,11.0,0.45454545454545453,69.0,outer_fold_metrics,,,
FULL,4.0,RF,1.0,1.0,1.0,1.0,1.0,0.10563199999999999,11.0,0.45454545454545453,69.0,outer_fold_metrics,,,
FULL,4.0,HGB,1.0,1.0,1.0,1.0,1.0,0.009807604915746377,11.0,0.45454545454545453,69.0,outer_fold_metrics,,,
FULL,5.0,LogReg,1.0,1.0,1.0,1.0,1.0,0.003246179919181617,11.0,0.45454545454545453,69.0,outer_fold_metrics,,,
FULL,5.0,LinearSVM,1.0,1.0,1.0,1.0,1.0,0.03187969573324719,11.0,0.45454545454545453,69.0,outer_fold_metrics,,,
FULL,5.0,RF,1.0,1.0,1.0,1.0,1.0,0.009191636363636362,11.0,0.45454545454545453,69.0,outer_fold_metrics,,,
FULL,5.0,HGB,1.0,1.0,1.0,1.0,1.0,0.0036824832470614367,11.0,0.45454545454545453,69.0,outer_fold_metrics,,,
BIOMARKERS,4.0,RF,1.0,1.0,1.0,1.0,1.0,0.06663781818181819,11.0,0.45454545454545453,10.0,outer_fold_metrics,,,
FULL,,RF,,,,,,,,,,oof_metrics,0.99875,0.9984615384615385,57.0
