variant,feature
FULL,72_kda_pro_mmp_2
FULL,92_kda_pro_mmp_9
FULL,ace_i
FULL,arb
FULL,bb
FULL,bmi
FULL,bms_des
FULL,cad
FULL,ccs
FULL,cholesterol_calkowity_tc
FULL,crp_5_zapalenie
FULL,crt_d_device
FULL,cukrzyca_dm
FULL,czy_pali
FULL,dm_leczenie
FULL,emmprin
FULL,gfr_min
FULL,hb_przyjecie
FULL,hba1c
FULL,hdl
FULL,ht_przyjecie
FULL,il_6_pg_ml
FULL,ile_lat_1
FULL,ile_lat_miazdzyca_t_szyjnych
FULL,ile_lat_mizdzyca_konczyn
FULL,ile_lat_pali
FULL,jaka_1
FULL,klop
FULL,krwawienie
FULL,kwas_moczowy
FULL,ldl
FULL,leukocytoza_przyjecie_10000
FULL,miazdzyca_konczyn_dolnych
FULL,miazdzyca_tetnic_szyjnych
FULL,mpv_przyjecie
FULL,nabyta_wada_serca
FULL,nadcisnienie_tetnicze_nt
FULL,noac
FULL,non_hdl_calkowity_hdl
FULL,nyha
FULL,obwod_bioder
FULL,otylosc_bmi_30
FULL,p_lcr_przyjecie
FULL,pct_przyjecie
FULL,pdw_przyjecie
FULL,petlowy
FULL,plec
FULL,plt_przyjecie
FULL,pomosty
FULL,przewlekla_niewydolnosc_serca_chf
FULL,rbc_przyjecie
FULL,rodzaj_zaburzen
FULL,rodzenstwo
FULL,rodzice
FULL,stymulator
FULL,tnfalfa_pg_ml
FULL,trijglicerydy_tg
FULL,waga_kg
FULL,wbc_przyjecie
FULL,wiek_w_momencie_zbiorki
FULL,wrodzona_wada_serca
FULL,wyniki_fgf23_pg_ml
FULL,wyniki_klotho_pg_ml
FULL,wzrost_cm
FULL,zaburzenia_homeostazy_glukozy_6
FULL,zaburzenia_rytmu
FULL,zapalenie_miesnia_serca
FULL,zapalenie_zyl_konczyn_dolnych_zakrzepica
FULL,zatorowosc_plucna
