variant,model,fpr,tpr,threshold
BIOMARKERS,RF,0.0,0.0,inf
BIOMARKERS,RF,0.0,0.04,0.9437601762485882
BIOMARKERS,RF,0.0,0.2,0.864
BIOMARKERS,RF,0.0,0.28,0.826
BIOMARKERS,RF,0.03125,0.28,0.77
BIOMARKERS,RF,0.03125,0.36,0.7476529865490829
BIOMARKERS,RF,0.0625,0.36,0.7429723450696567
BIOMARKERS,RF,0.0625,0.68,0.6448879174059647
BIOMARKERS,RF,0.125,0.68,0.6410541290739349
BIOMARKERS,RF,0.125,0.96,0.572
BIOMARKERS,RF,0.3125,0.96,0.378
BIOMARKERS,RF,0.3125,1.0,0.36
BIOMARKERS,RF,0.6875,1.0,0.118976172887167
BIOMARKERS,RF,0.75,1.0,0.11
BIOMARKERS,RF,1.0,1.0,0.008
CLINICAL,RF,0.0,0.0,inf
CLINICAL,RF,0.0,0.04,0.6455749510072467
CLINICAL,RF,0.0,0.12,0.6162442523509517
CLINICAL,RF,0.0625,0.12,0.6077015188525167
CLINICAL,RF,0.0625,0.2,0.5569367048361401
CLINICAL,RF,0.125,0.2,0.5412017339763074
CLINICAL,RF,0.125,0.24,0.5363138813742817
CLINICAL,RF,0.25,0.24,0.5150856026669431
CLINICAL,RF,0.25,0.32,0.5107720463075729
CLINICAL,RF,0.3125,0.32,0.5033992956021002
CLINICAL,RF,0.3125,0.48,0.4952507440323618
CLINICAL,RF,0.34375,0.48,0.4948267471524239
CLINICAL,RF,0.34375,0.56,0.4874291487791108
CLINICAL,RF,0.4375,0.56,0.4837551541780421
CLINICAL,RF,0.4375,0.64,0.4821746276198339
CLINICAL,RF,0.53125,0.64,0.4664602232073519
CLINICAL,RF,0.53125,0.68,0.455949430832388
CLINICAL,RF,0.59375,0.68,0.4467778640289204
CLINICAL,RF,0.59375,0.8,0.4414641349417276
CLINICAL,RF,0.6875,0.8,0.4290770328428979
CLINICAL,RF,0.6875,0.84,0.4195333646634703
CLINICAL,RF,0.8125,0.84,0.4114549707363686
CLINICAL,RF,0.8125,0.92,0.3967609028322799
CLINICAL,RF,0.84375,0.92,0.3650630783075428
CLINICAL,RF,0.84375,0.96,0.3592186359703886
CLINICAL,RF,0.90625,0.96,0.3519081968211563
CLINICAL,RF,0.90625,1.0,0.3403497177361497
CLINICAL,RF,1.0,1.0,0.2502722221137327
FULL,RF,0.0,0.0,inf
FULL,RF,0.0,0.04,0.95
FULL,RF,0.0,0.96,0.512
FULL,RF,0.03125,0.96,0.474
FULL,RF,0.03125,1.0,0.446
FULL,RF,1.0,1.0,0.006
