variant,model,auc_mean,auc_sd,auprc_mean,auprc_sd,n_folds,brier_mean,brier_sd
BIOMARKERS,RF,0.9495238095238097,0.05057492589467338,0.9339999999999999,0.07402702209328696,5,0.1107190777456297,0.030842664754327325
BIOMARKERS,HGB,0.8876190476190476,0.03394005653562941,0.8300000000000001,0.07884584115009906,5,0.11796617655327098,0.0199012063851966
BIOMARKERS,LinearSVM,0.8200000000000001,0.12483095144998821,0.7959841269841269,0.1376711651372736,5,0.16468299011962179,0.05667607430359339
BIOMARKERS,LogReg,0.7514285714285714,0.1139578630802769,0.7292698412698412,0.11122034596472426,5,0.18721664881633765,0.057014141219201876
CLINICAL,RF,0.5942857142857143,0.11544059343335386,0.6164357864357864,0.1567404431293076,5,0.23660782198535407,0.00988828929867134
CLINICAL,HGB,0.5714285714285714,0.11532267655535554,0.5829682539682539,0.15114205365472574,5,0.29833899303306527,0.07320122076795425
CLINICAL,LinearSVM,0.4847619047619047,0.16219861288764384,0.5486406926406926,0.13519032332961062,5,0.25209718574849643,0.024877690637680642
CLINICAL,LogReg,0.4552380952380952,0.06913787204907254,0.4766277056277056,0.07483427214652896,5,0.30644688893474203,0.10328764295995584
FULL,RF,0.9942857142857143,0.012777531299998738,0.9933333333333334,0.014907119849998662,5,0.0775642363636363,0.05706018497851679
FULL,LogReg,0.9885714285714287,0.02555506259999752,0.9866666666666667,0.029814239699997268,5,0.09199080010187244,0.0842005094315925
FULL,HGB,0.96,0.08944271909999157,0.9533333333333334,0.10434983894999023,5,0.03923902362228786,0.06783277170567054
FULL,LinearSVM,0.917142857142857,0.08475655413823613,0.9386666666666666,0.05842136215080538,5,0.11202423298127817,0.05506765161660627
