variant,model,oof_roc_auc,oof_auprc,oof_brier,n,pos_rate
BIOMARKERS,HGB,0.87875,0.8029287372787929,0.1186344865459965,57,0.4385964912280701
BIOMARKERS,LinearSVM,0.84125,0.7543195800948382,0.1646194252694739,57,0.4385964912280701
BIOMARKERS,LogReg,0.7987500000000001,0.7131777691680206,0.1884023776043366,57,0.4385964912280701
BIOMARKERS,RF,0.93,0.8928080256730953,0.1114693322362291,57,0.4385964912280701
CLINICAL,HGB,0.5362500000000001,0.4981466360651735,0.2978919838870852,57,0.4385964912280701
CLINICAL,LinearSVM,0.45375,0.4440812994681072,0.2513145284631157,57,0.4385964912280701
CLINICAL,LogReg,0.49,0.4484253535683965,0.3086619875161764,57,0.4385964912280701
CLINICAL,RF,0.6025,0.5796704034296996,0.2364641617905113,57,0.4385964912280701
FULL,HGB,0.94125,0.9584615384615386,0.0410270910397848,57,0.4385964912280701
FULL,LinearSVM,0.91375,0.9321723633092054,0.113485193015938,57,0.4385964912280701
FULL,LogReg,0.9925,0.9914285714285714,0.0940487877656102,57,0.4385964912280701
FULL,RF,0.99875,0.9984615384615384,0.0777290526315789,57,0.4385964912280701
