variant,model,calibration,roc_auc,auprc,brier,log_loss,n,pos_rate,cal_intercept,cal_slope,ece,mce
BIOMARKERS,RF,isotonic_crossfit,0.8975,0.8170224425798797,0.09279805317474897,0.9248112034809752,57,0.43859649122807015,0.3518033181460405,0.15217733449002155,0.08360935731482909,0.40833333333333355
BIOMARKERS,RF,platt_crossfit,0.92625,0.8914053768942853,0.10341829493167785,0.32889060113560253,57,0.43859649122807015,-0.03507904493085758,1.1152809083541828,0.09011846094296465,0.15666393803765155
BIOMARKERS,RF,uncalibrated,0.9299999999999999,0.8928080256730953,0.1114693322362291,0.3685405872604156,57,0.43859649122807015,-0.24389827839368,1.7612699103575624,0.11311959065595326,0.17398372914446983
CLINICAL,RF,isotonic_crossfit,0.5318750000000001,0.5037171932757811,0.2553584277069518,1.0189301641810444,57,0.43859649122807015,-0.17868670874504056,0.06056853565147888,0.07712459696626268,0.25
CLINICAL,RF,platt_crossfit,0.60375,0.5847029129055293,0.23860668079019445,0.6696154683931471,57,0.43859649122807015,-0.06815811340459212,0.7020332516304049,0.03727040979537951,0.07871041478231278
CLINICAL,RF,uncalibrated,0.6025,0.5796704034296996,0.23646416179051138,0.6648851779952297,57,0.43859649122807015,-0.15074794522597706,0.8091138106467217,0.03131090788732483,0.03874496857815468
FULL,RF,isotonic_crossfit,0.9975,0.997037037037037,0.018845204004812523,0.055134841258101176,57,0.43859649122807015,0.20450082524505692,0.3710544458398416,0.03300758527618781,0.34840848806366026
FULL,RF,platt_crossfit,0.99875,0.9984615384615385,0.034137937077144596,0.14400430923473204,57,0.43859649122807015,0.21014161229202255,1.9924015509804136,0.08922486222957456,0.27978848291421543
FULL,RF,uncalibrated,0.99875,0.9984615384615385,0.07772905263157893,0.29413646580952046,57,0.43859649122807015,0.31355693819264563,2.680421566712762,0.209719298245614,0.29893333333333333
