variant,model,threshold_method,calibration,threshold_mean,threshold_sd,sens_mean,spec_mean,ppv_mean,npv_mean
BIOMARKERS,RF,f1,isotonic_crossfit,0.14600000000000002,0.07797435475847171,0.96,0.8476190476190476,0.8361904761904763,0.9666666666666666
BIOMARKERS,RF,f1,platt_crossfit,0.512,0.03898717737923591,0.96,0.8476190476190476,0.8361904761904763,0.9666666666666666
BIOMARKERS,RF,f1,uncalibrated,0.538,0.004472135954999583,0.96,0.8476190476190476,0.8361904761904763,0.9666666666666666
BIOMARKERS,RF,mcc,isotonic_crossfit,0.14600000000000002,0.07797435475847171,0.96,0.8476190476190476,0.8361904761904763,0.9666666666666666
BIOMARKERS,RF,mcc,platt_crossfit,0.512,0.03898717737923591,0.96,0.8476190476190476,0.8361904761904763,0.9666666666666666
BIOMARKERS,RF,mcc,uncalibrated,0.538,0.004472135954999583,0.96,0.8476190476190476,0.8361904761904763,0.9666666666666666
BIOMARKERS,RF,youden,isotonic_crossfit,0.14600000000000002,0.07797435475847171,0.96,0.8476190476190476,0.8361904761904763,0.9666666666666666
BIOMARKERS,RF,youden,platt_crossfit,0.512,0.03898717737923591,0.96,0.8476190476190476,0.8361904761904763,0.9666666666666666
BIOMARKERS,RF,youden,uncalibrated,0.538,0.004472135954999583,0.96,0.8476190476190476,0.8361904761904763,0.9666666666666666
CLINICAL,RF,f1,isotonic_crossfit,0.11000000000000001,0.13693063937629152,0.8400000000000001,0.16666666666666666,0.44666666666666666,0.5238095238095238
CLINICAL,RF,f1,platt_crossfit,0.354,0.027018512172212582,0.8400000000000001,0.16666666666666666,0.44666666666666666,0.5238095238095238
CLINICAL,RF,f1,uncalibrated,0.35,0.05958187643906491,0.8400000000000001,0.16666666666666666,0.44666666666666666,0.5238095238095238
CLINICAL,RF,mcc,isotonic_crossfit,0.40800000000000003,0.10733126291998989,0.27999999999999997,0.6333333333333333,0.37777777777777777,0.4333333333333334
CLINICAL,RF,mcc,platt_crossfit,0.484,0.08049844718999245,0.24,0.7,0.41111111111111115,0.4444444444444445
CLINICAL,RF,mcc,uncalibrated,0.54,0.1120267825120404,0.24,0.7,0.41111111111111115,0.4444444444444445
CLINICAL,RF,youden,isotonic_crossfit,0.38,0.03535533905932737,0.6,0.4428571428571429,0.43555555555555553,0.6166666666666666
CLINICAL,RF,youden,platt_crossfit,0.434,0.016733200530681516,0.64,0.47142857142857136,0.4666666666666666,0.6533333333333333
CLINICAL,RF,youden,uncalibrated,0.466,0.024083189157584593,0.6,0.47142857142857136,0.4523809523809524,0.6233333333333333
FULL,RF,f1,isotonic_crossfit,0.01,0.0,1.0,0.9380952380952381,0.9333333333333333,1.0
FULL,RF,f1,platt_crossfit,0.374,0.03209361307176242,1.0,0.9380952380952381,0.9333333333333333,1.0
FULL,RF,f1,uncalibrated,0.422,0.017888543819998305,1.0,0.9380952380952381,0.9333333333333333,1.0
FULL,RF,mcc,isotonic_crossfit,0.01,0.0,1.0,0.9380952380952381,0.9333333333333333,1.0
FULL,RF,mcc,platt_crossfit,0.374,0.03209361307176242,1.0,0.9380952380952381,0.9333333333333333,1.0
FULL,RF,mcc,uncalibrated,0.422,0.017888543819998305,1.0,0.9380952380952381,0.9333333333333333,1.0
FULL,RF,youden,isotonic_crossfit,0.01,0.0,1.0,0.9380952380952381,0.9333333333333333,1.0
FULL,RF,youden,platt_crossfit,0.374,0.03209361307176242,1.0,0.9380952380952381,0.9333333333333333,1.0
FULL,RF,youden,uncalibrated,0.422,0.017888543819998305,1.0,0.9380952380952381,0.9333333333333333,1.0
