feature,perm_auc_drop
wiek_w_momencie_zbiorki,0.004730158730158708
waga_kg,0.003746031746031729
zaburzenia_rytmu,0.0019047619047619035
nadcisnienie_tetnicze_nt,0.0015555555555555474
wbc_przyjecie,0.00022222222222220283
ile_lat_miazdzyca_t_szyjnych,0.0
krwawienie,0.0
ile_lat_1,0.0
arb,0.0
bb,0.0
crt_d_device,0.0
ile_lat_mizdzyca_konczyn,0.0
zapalenie_miesnia_serca,0.0
wrodzona_wada_serca,0.0
stymulator,0.0
ace_i,-0.00044444444444444436
noac,-0.0011428571428571434
nabyta_wada_serca,-0.001333333333333333
wzrost_cm,-0.002126984126984144
crp_5_zapalenie,-0.0027936507936508043
gfr_min,-0.0032698412698412825
cad,-0.0034603174603174648
hba1c,-0.0035555555555555644
petlowy,-0.004380952380952383
mpv_przyjecie,-0.005015873015873022
zaburzenia_homeostazy_glukozy_6,-0.005301587301587299
otylosc_bmi_30,-0.006761904761904761
cukrzyca_dm,-0.0077142857142857135
obwod_bioder,-0.007714285714285722
ile_lat_pali,-0.009428571428571425
czy_pali,-0.009492063492063496
bmi,-0.012285714285714297
leukocytoza_przyjecie_10000,-0.013841269841269849
pct_przyjecie,-0.01393650793650795
trijglicerydy_tg,-0.014984126984126989
kwas_moczowy,-0.017174603174603172
rbc_przyjecie,-0.017619047619047628
p_lcr_przyjecie,-0.018222222222222223
plt_przyjecie,-0.020317460317460314
klop,-0.02323809523809524
ht_przyjecie,-0.030253968253968273
pdw_przyjecie,-0.03168253968253968
hb_przyjecie,-0.04285714285714287
