variant,model,auc_mean,auc_sd,mcc_mean,mcc_sd,brier_mean,brier_sd,use_rfe_effective,n_select_effective,n_samples,n_features
BIOMARKERS,RF_SHALLOW,0.9161904761904763,0.07638368359919154,0.739047619047619,0.1513881347627309,0.13665283805357356,0.021057505637577977,False,,57,10
BIOMARKERS,LR_L1,0.8495238095238096,0.08874279377342154,0.5987557989055629,0.25084182831423707,0.15777308513384133,0.07852656007934994,False,,57,10
BIOMARKERS,LR_ELNET,0.8209523809523809,0.03635925555965922,0.31848108972198463,0.3481782838974087,0.1852801935555643,0.0580486912057624,False,,57,10
BIOMARKERS,SVM_REG,0.8123809523809523,0.11441460985313814,0.5503690835248308,0.26953389214228574,0.17368804139517707,0.07143452685692872,False,,57,10
CLINICAL,RF_SHALLOW,0.6123809523809524,0.1474499799886031,0.19832594016365018,0.31757419305194895,0.2403784123599293,0.014294547564341054,False,,57,42
CLINICAL,SVM_REG,0.5323809523809524,0.1141070031298049,-0.03311338302506815,0.26692964185876356,0.25312618712744145,0.013885716092106091,False,,57,42
CLINICAL,LR_ELNET,0.5057142857142857,0.06111214181773552,0.12717123749203588,0.1643238143574211,0.3022681264494551,0.11110801424895879,False,,57,42
CLINICAL,LR_L1,0.4795238095238096,0.0907826888709486,0.005714285714285713,0.050440238769010895,0.3441946700487394,0.11196694437617079,False,,57,42
FULL,LR_L1,1.0,0.0,0.9690308509457033,0.0692491224907307,0.06348887598205133,0.025363468156035695,False,,57,53
FULL,LR_ELNET,1.0,0.0,0.10583005244258363,0.23664319132398462,0.21192552380865193,0.006591341724786044,False,,57,53
FULL,RF_SHALLOW,0.9885714285714287,0.02555506259999756,0.9366260102127946,0.14170854916956863,0.11952962606770509,0.014672140283918037,False,,57,53
FULL,SVM_REG,0.9,0.10202040612204066,0.7318087649372277,0.1978703638527536,0.10260128809701752,0.060444241497179634,False,,57,53
