variant,model,fold_id,best_score_inner_cv,best_params,use_rfe_effective,n_select_effective,error
FULL,LR_L1,1,1.0,"{""clf__C"": 0.1668100537200059}",False,,
FULL,LR_L1,2,1.0,"{""clf__C"": 0.1668100537200059}",False,,
FULL,LR_L1,3,1.0,"{""clf__C"": 0.1668100537200059}",False,,
FULL,LR_L1,4,1.0,"{""clf__C"": 0.1668100537200059}",False,,
FULL,LR_L1,5,1.0,"{""clf__C"": 0.1668100537200059}",False,,
FULL,LR_ELNET,1,1.0,"{""clf__C"": 0.01291549665014884, ""clf__l1_ratio"": 0.1}",False,,
FULL,LR_ELNET,2,1.0,"{""clf__C"": 0.01291549665014884, ""clf__l1_ratio"": 0.1}",False,,
FULL,LR_ELNET,3,1.0,"{""clf__C"": 0.01291549665014884, ""clf__l1_ratio"": 0.1}",False,,
FULL,LR_ELNET,4,1.0,"{""clf__C"": 0.01291549665014884, ""clf__l1_ratio"": 0.1}",False,,
FULL,LR_ELNET,5,1.0,"{""clf__C"": 0.01291549665014884, ""clf__l1_ratio"": 0.1}",False,,
FULL,SVM_REG,1,0.9833333333333332,"{""clf__C"": 0.01291549665014884, ""clf__gamma"": ""scale"", ""clf__kernel"": ""linear""}",False,,
FULL,SVM_REG,2,0.875,"{""clf__C"": 0.1668100537200059, ""clf__gamma"": ""scale"", ""clf__kernel"": ""linear""}",False,,
FULL,SVM_REG,3,0.8916666666666666,"{""clf__C"": 0.046415888336127795, ""clf__gamma"": ""scale"", ""clf__kernel"": ""linear""}",False,,
FULL,SVM_REG,4,0.8958333333333333,"{""clf__C"": 0.046415888336127795, ""clf__gamma"": ""scale"", ""clf__kernel"": ""linear""}",False,,
FULL,SVM_REG,5,0.8875,"{""clf__C"": 2.1544346900318843, ""clf__gamma"": ""scale"", ""clf__kernel"": ""rbf""}",False,,
FULL,RF_SHALLOW,1,1.0,"{""clf__max_depth"": 2, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 300}",False,,
FULL,RF_SHALLOW,2,0.9833333333333332,"{""clf__max_depth"": 2, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 300}",False,,
FULL,RF_SHALLOW,3,0.9708333333333332,"{""clf__max_depth"": 3, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 300}",False,,
FULL,RF_SHALLOW,4,1.0,"{""clf__max_depth"": 2, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 300}",False,,
FULL,RF_SHALLOW,5,0.9666666666666666,"{""clf__max_depth"": 2, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 300}",False,,
